NPA,Transaction_frequency
0,71
0,69
1,39
1,40
0,79
0,61
1,79
1,79
0,71
1,40
0,60
1,56
0,70
0,49
0,75
0,67
0,74
0,38
0,39
0,79
1,28
0,49
0,49
1,54
1,67
0,54
0,45
1,46
1,23
0,20
0,32
0,48
1,25
0,24
0,45
0,20
0,20
0,76
0,51
0,39
0,77
0,64
0,67
0,64
0,41
0,63
0,73
1,77
1,28
0,64
0,59
1,25
1,21
0,68
0,24
0,43
1,60
1,31
1,55
0,42
0,41
0,70
1,66
0,48
0,79
0,30
1,27
1,42
1,52
0,78
0,20
1,26
1,41
1,27
0,34
0,31
0,36
0,71
0,52
0,32
0,35
0,51
0,30
1,20
0,26
0,61
0,33
0,48
1,26
0,27
0,59
1,45
0,29
0,63
1,79
1,44
1,67
0,60
0,21
0,27
